n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
10,100,10,0.3,0.3,0.070028067,0.588197947
50,100,10,0.6,0.7,0.123039722,10004.99278
20,100,10,0.2,0.2,0.105336666,10004.59787
80,100,10,1,1,0.230813742,10005.04382
90,100,10,1,1,0.166764021,10006.33789
60,100,10,0.7,0.8,0.143161297,10004.72293
30,100,10,0.3,0.4,0.079432249,10005.20859
70,100,10,0.9,0.9,0.207197189,10004.54458
40,100,10,0.6,0.6,0.120530844,10005.96627
10,100,10,0.3,0.3,0.0310781,0.472151995
50,100,10,0.6,0.7,0.123146296,10004.72277
20,100,10,0.2,0.2,0.108839512,10004.62268
80,100,10,1,1,0.232506752,10004.99496
90,100,10,1,1,0.180794954,10004.93845
60,100,10,0.7,0.8,0.152942419,10004.12822
30,100,10,0.3,0.4,0.090517044,10004.48842
70,100,10,0.9,0.9,0.287165165,10003.30656
40,100,10,0.6,0.6,0.139261961,10004.96142
10,100,10,0.3,0.3,0.030971289,0.60589838
50,100,10,0.6,0.7,0.240271807,10003.40059
20,100,10,0.2,0.2,0.106606007,10004.21467
80,100,10,0.9,0.9,0.126141071,10003.9126
90,100,10,0.9,0.9,0.194963217,10004.45289
60,100,10,0.7,0.8,0.115649939,10004.54656
30,100,10,0.8,0.9,0.090720892,10004.879
70,100,10,1,1,0.125912189,10004.75599
99,100,10,0.7,0.7,0.239516497,1182.540813
96,100,10,0.9,0.9,0.226510763,10003.94181
98,100,10,1,1,0.251312017,5406.029954
14,100,10,0.2,0.1,0.224061728,10006.05636
17,100,10,0.2,0.2,0.112675905,10005.97591
94,100,10,0.9,0.9,0.230772257,10003.76789
15,100,10,0.1,0.2,0.080445528,10006.06773
91,100,10,1,1,0.510256052,10005.70013
95,100,10,0.9,0.9,0.263221741,10004.22309
12,100,10,0.1,0.1,0.047326088,72.72275734
18,100,10,0.2,0.3,0.075884104,10004.56442
19,100,10,0.1,0.1,0.100567579,10004.41867
16,100,10,0.2,0.2,0.229165077,10004.92578
92,100,10,0.9,0.9,0.231837273,10003.1585
13,100,10,0.2,0.3,0.190921783,10005.68764
97,100,10,0.9,0.9,0.221702099,3563.950211
11,100,10,0.2,0.2,0.04381609,0.881599903
93,100,10,0.7,0.8,0.844005108,10005.95516
99,100,10,0.7,0.7,0.269300699,1204.425313
96,100,10,0.9,0.9,0.484841585,10003.42419
98,100,10,1,1,0.245771885,5404.234328
14,100,10,0.2,0.1,0.063637018,10004.56376
17,100,10,0.2,0.2,0.203691721,10004.85624
94,100,10,0.9,0.9,0.365909576,10005.59848
15,100,10,0.1,0.2,0.075021744,10005.14424
91,100,10,1,1,0.263942242,10004.17892
95,100,10,0.9,0.9,0.398555994,10004.75926
12,100,10,0.1,0.1,0.050489664,72.72279406
18,100,10,0.2,0.3,0.076531172,10004.72988
19,100,10,0.1,0.1,0.102600336,10005.96804
16,100,10,0.2,0.2,0.072883129,10005.56486
92,100,10,0.9,0.9,0.24085021,10003.39052
