,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
289,100,100,19,0.7894736842105263,0.8421052631578947,0.2931394577026367,3602.6154386997223
290,100,100,59,0.6779661016949152,0.6271186440677966,2.643794059753418,3602.2741405963898
291,100,100,70,0.7,0.7428571428571429,4.348654508590698,3602.171650648117
292,100,100,14,0.8571428571428571,0.7857142857142857,0.33695554733276367,3602.459204673767
293,100,100,34,0.7352941176470589,0.5882352941176471,1.0646021366119385,3602.4713592529297
294,50,50,21,0.5714285714285714,0.7619047619047619,0.1525106430053711,173.57002210617065
295,50,50,12,0.75,0.6666666666666666,0.05289483070373535,294.04050970077515
296,50,50,32,0.6875,0.625,0.23154997825622559,107.15296649932861
297,100,100,66,0.7121212121212122,0.6818181818181818,5.160714149475098,3602.1543247699738
298,50,50,27,0.7407407407407407,0.7037037037037037,0.17673015594482422,396.0106010437012
299,100,100,41,0.6585365853658537,0.4878048780487805,1.5969030857086182,3602.281165122986
300,50,50,28,0.5357142857142857,0.5714285714285714,0.26450443267822266,194.08556962013245
301,100,100,81,0.8271604938271605,0.7901234567901234,6.2559449672698975,620.9048249721527
302,100,100,36,0.6111111111111112,0.6388888888888888,1.1120386123657227,3602.1639063358307
303,50,50,23,0.6521739130434783,0.8260869565217391,0.15482497215270996,1030.2649056911469
304,50,50,43,0.8372093023255814,0.8604651162790697,0.6930372714996338,3.397588014602661
305,100,100,51,0.6666666666666666,0.6470588235294118,1.802647352218628,3602.1810121536255
306,50,50,38,0.7894736842105263,0.8157894736842105,0.6529500484466553,11.42469835281372
307,100,100,6,1.0,1.0,0.12987899780273438,16.758047819137573
308,50,50,13,0.8461538461538461,0.8461538461538461,0.04849433898925781,104.17814135551453
309,50,50,50,1.0,1.0,0.08618950843811035,0.11954188346862793
310,100,100,92,0.9239130434782609,0.9130434782608695,10.297797679901123,16.956427097320557
311,100,100,47,0.6808510638297872,0.6595744680851063,1.6617233753204346,3602.268636226654
312,100,100,58,0.7413793103448276,0.7068965517241379,3.7310171127319336,3602.3499054908752
313,50,50,45,0.8888888888888888,0.8888888888888888,0.6543281078338623,2.094043254852295
314,100,100,2,1.0,1.0,0.09035468101501465,0.483320951461792
315,50,50,20,0.55,0.5,0.09864950180053711,925.5771315097809
316,100,100,42,0.6666666666666666,0.5714285714285714,1.6656508445739746,3602.280307531357
317,100,100,99,0.98989898989899,0.98989898989899,2.3967769145965576,0.403980016708374
318,100,100,17,0.7647058823529411,0.6470588235294118,0.4120292663574219,3602.460285425186
319,100,100,54,0.7222222222222222,0.6851851851851852,2.3798415660858154,3602.3393256664276
320,50,50,15,0.4,0.6666666666666666,0.10292410850524902,162.2270166873932
321,100,100,94,0.9468085106382979,0.9468085106382979,13.908531904220581,6.862913370132446
322,100,100,49,0.5918367346938775,0.5102040816326531,2.122898578643799,3602.3228228092194
323,100,100,69,0.6666666666666666,0.7246376811594203,4.773855447769165,3601.8454427719116
324,100,100,24,0.7083333333333334,0.6666666666666666,0.5621020793914795,3602.5776646137238
325,50,50,11,0.7272727272727273,0.7272727272727273,0.05839967727661133,47.98521065711975
326,100,100,84,0.8452380952380952,0.8690476190476191,7.163627862930298,374.33663630485535
327,100,100,39,0.7948717948717948,0.6153846153846154,1.2863132953643799,3602.2759914398193
328,50,50,26,0.6923076923076923,0.6153846153846154,0.2293839454650879,176.544198513031
329,100,100,80,0.7875,0.775,9.463379621505737,1062.100517988205
330,100,100,91,0.9120879120879121,0.9120879120879121,7.850019216537476,33.386714458465576
331,100,100,35,0.6,0.6,0.9994430541992188,3602.2627215385437
332,50,50,33,0.6363636363636364,0.6363636363636364,0.44974279403686523,12.534608125686646
333,50,50,8,0.625,0.625,0.05233120918273926,7.065853834152222
334,100,100,30,0.7333333333333333,0.6666666666666666,0.5451769828796387,3602.4373681545258
335,100,100,87,0.8850574712643678,0.8620689655172413,10.031307458877563,97.39958310127258
336,50,50,48,0.9583333333333334,0.9583333333333334,0.46852731704711914,1.1735033988952637
337,100,100,5,1.0,1.0,0.17789816856384277,14.037773370742798
338,50,50,3,0.6666666666666666,0.6666666666666666,0.018994808197021484,0.2895023822784424
339,100,100,82,0.8658536585365854,0.8170731707317073,6.928014516830444,348.4346661567688
340,100,100,37,0.6216216216216216,0.6486486486486487,1.553544044494629,3602.411231279373
341,100,100,57,0.6140350877192983,0.543859649122807,3.2541868686676025,3602.341705083847
342,50,50,44,0.8636363636363636,0.8636363636363636,0.5458393096923828,2.568314552307129
343,100,100,12,0.9166666666666666,0.9166666666666666,0.22729778289794922,3602.193349838257
344,100,100,97,0.9690721649484536,0.9690721649484536,8.442732095718384,8.26925539970398
345,100,100,52,0.6730769230769231,0.5384615384615384,3.082977294921875,3602.327455997467
346,100,100,72,0.7361111111111112,0.7222222222222222,3.9691884517669678,3601.801226377487
