,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
1820,950,11820,1.0,5.045731782913208,0.42,1.303415060043335,1.0,0.000774263682681127,25.996418237686157,0.98,0.17751646041870117,0.98,100000.0,12.242767810821533
1821,950,11821,1.0,0.8668456077575684,0.42,3.63344669342041,1.0,0.000774263682681127,27.1809184551239,0.96,0.035512685775756836,0.96,96679.6875,19.177865505218506
1822,950,11822,1.0,2.686655282974243,0.52,8.944671154022217,1.0,0.000774263682681127,31.938775777816772,0.96,0.16827678680419922,1.0,93750.0,22.00055193901062
1823,950,11823,1.0,1.6053729057312012,0.52,3.1351966857910156,1.0,0.000774263682681127,33.09321188926697,0.98,0.06523942947387695,1.0,100000.0,11.03871750831604
1824,950,11824,1.0,1.732468605041504,0.52,3.9973835945129395,1.0,0.000774263682681127,30.35665798187256,1.0,0.13121795654296875,1.0,125000.0,12.28135871887207
1825,950,11825,1.0,0.848562479019165,0.48,5.236018657684326,1.0,0.000774263682681127,15.476129293441772,1.0,0.05687522888183594,1.0,112500.0,9.536020755767822
1826,950,11826,1.0,0.40616846084594727,0.5,2.5381317138671875,1.0,0.000774263682681127,9.44887900352478,1.0,0.10065579414367676,0.98,119531.25,15.934984683990479
1827,950,11827,1.0,2.2369930744171143,0.42,1.0904195308685303,1.0,0.000774263682681127,14.524410247802734,0.98,0.15365839004516602,1.0,100000.0,5.759940147399902
1828,950,11828,1.0,0.49007272720336914,0.52,3.2711262702941895,1.0,0.000774263682681127,15.420305252075195,1.0,0.03157806396484375,0.96,106250.0,7.363586664199829
1829,950,11829,1.0,0.7195601463317871,0.46,2.1216888427734375,1.0,0.000774263682681127,11.26030158996582,1.0,0.057984113693237305,1.0,100000.0,6.991823434829712
