n,k,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
350,40,238,0.8,140.625,129.9486153125763,0.875,0.14178943634033203,0.95,0.003593813663804626,13.794074773788452,0.725,0.035123586654663086,0.95,1.8128979206085205
400,40,254,0.9,140.625,157.18093514442444,1,0.10600137710571289,1,0.003593813663804626,14.000388622283936,0.85,0.041708946228027344,1,1.0590670108795166
450,40,271,0.9,114.2578125,218.2277910709381,1,0.11859655380249023,1,0.002154434690031882,20.42887306213379,0.9,0.05422043800354004,1,1.3513638973236084
300,40,223,0.925,88.37127685546875,155.8184494972229,0.95,0.07857084274291992,0.95,0.003593813663804626,6.920174598693848,0.85,0.029880285263061523,0.95,0.7167649269104004
250,40,208,0.9,75,94.54507184028625,0.9,0.05672001838684082,0.975,0.005994842503189409,3.2272212505340576,0.85,0.02567911148071289,0.975,0.6419277191162109
350,40,239,0.875,100,136.1850881576538,0.95,0.16228270530700684,0.925,0.003593813663804626,9.44368314743042,0.8,0.04374551773071289,0.975,1.0286126136779785
300,40,224,0.9,75,104.42998456954956,0.975,0.06588053703308105,0.975,0.003593813663804626,8.060574531555176,0.825,0.027184247970581055,0.975,1.250553846359253
250,40,209,0.925,84.375,103.21830534934998,1,0.05061483383178711,1,0.002154434690031882,3.6034884452819824,0.95,0.02304816246032715,1,0.8287630081176758
400,40,255,0.825,103.125,162.22646832466125,0.9,0.1336352825164795,0.95,0.003593813663804626,15.80557894706726,0.775,0.051618099212646484,0.975,2.019953966140747
450,40,272,0.95,134.8876953125,228.07083535194397,1,0.13719701766967773,1,0.002154434690031882,15.298755884170532,0.975,0.04838705062866211,1,1.098008155822754
