,model,n,p,k,seed,method,time,accuracy,n_iters
370,linear,100,500,50,41,SCOPE,7.113978066000527,0.28,18.0
371,linear,100,500,50,41,GraSP_jit,0.8416919189994587,0.22,14.0
372,linear,100,500,50,41,GraSP,11.14589702000012,0.22,14.0
373,linear,100,500,50,41,IHT_jit,0.3361062240001047,0.32,1.0
374,linear,100,500,50,41,IHT,0.25490075400011847,0.32,1.0
375,linear,100,500,50,41,HTP_jit,0.428326286999436,0.24,8.0
376,linear,100,500,50,41,HTP,2.314004527999714,0.24,8.0
377,linear,100,500,50,41,CVXPY,0.02384885999981634,0.24,0.0
378,linear,100,500,50,42,SCOPE_jit,0.8657583349995548,0.28,23.0
379,linear,100,500,50,42,SCOPE,13.155743300000722,0.28,23.0
380,linear,100,500,50,42,GraSP_jit,7.180257929000618,0.26,99.0
381,linear,100,500,50,42,GraSP,87.74013166399982,0.26,99.0
382,linear,100,500,50,42,IHT_jit,0.39841074000014487,0.44,4.0
383,linear,100,500,50,42,IHT,0.26929985400056466,0.44,4.0
384,linear,100,500,50,42,HTP_jit,0.6322115900002245,0.34,13.0
385,linear,100,500,50,42,HTP,5.991269631999785,0.34,13.0
