,model,n,p,k,seed,method,time,accuracy
295,linear,600,500,50,59,SCOPE_jit,0.5035670071374625,1.0
296,linear,600,500,50,59,GraSP_jit,0.3273907611146569,1.0
297,linear,600,500,50,59,IHT_jit,0.23958332790061831,1.0
298,linear,600,500,50,59,HTP_jit,0.31752734794281423,1.0
299,linear,600,500,50,59,CVXPY,0.17951620393432677,0.9
300,linear,700,500,50,60,SCOPE_jit,0.8290810009930283,1.0
301,linear,700,500,50,60,GraSP_jit,0.48599607101641595,1.0
302,linear,700,500,50,60,IHT_jit,0.6430521770380437,1.0
303,linear,700,500,50,60,HTP_jit,0.46433795406483114,1.0
304,linear,700,500,50,60,CVXPY,0.20856503397226334,0.96
305,linear,700,500,50,61,SCOPE_jit,0.7260542151052505,1.0
306,linear,700,500,50,61,GraSP_jit,0.40470092091709375,1.0
307,linear,700,500,50,61,IHT_jit,0.26371329510584474,1.0
308,linear,700,500,50,61,HTP_jit,0.4890570479910821,1.0
309,linear,700,500,50,61,CVXPY,0.19691434898413718,0.78
310,linear,700,500,50,62,SCOPE_jit,1.2969614181201905,1.0
311,linear,700,500,50,62,GraSP_jit,0.6220709271728992,1.0
312,linear,700,500,50,62,IHT_jit,0.5642865290865302,1.0
313,linear,700,500,50,62,HTP_jit,0.46483244514092803,1.0
314,linear,700,500,50,62,CVXPY,0.3066411279141903,0.94
315,linear,700,500,50,63,SCOPE_jit,1.0827734610065818,1.0
316,linear,700,500,50,63,GraSP_jit,0.6763220292050391,1.0
317,linear,700,500,50,63,IHT_jit,0.47373289591632783,1.0
318,linear,700,500,50,63,HTP_jit,0.46153661399148405,1.0
319,linear,700,500,50,63,CVXPY,0.17942032404243946,0.86
320,linear,700,500,50,64,SCOPE_jit,1.064223773078993,1.0
321,linear,700,500,50,64,GraSP_jit,0.6890007460024208,1.0
322,linear,700,500,50,64,IHT_jit,0.5916385590098798,1.0
323,linear,700,500,50,64,HTP_jit,0.37695667310617864,1.0
324,linear,700,500,50,64,CVXPY,0.18593869009055197,0.6
325,linear,700,500,50,65,SCOPE_jit,1.14377591595985,1.0
326,linear,700,500,50,65,GraSP_jit,0.9267342169769108,1.0
327,linear,700,500,50,65,IHT_jit,0.3669860218651593,0.98
328,linear,700,500,50,65,HTP_jit,0.46177682583220303,1.0
329,linear,700,500,50,65,CVXPY,0.36012510396540165,0.84
330,linear,700,500,50,66,SCOPE_jit,1.0221712610218674,1.0
331,linear,700,500,50,66,GraSP_jit,0.5485009930562228,1.0
332,linear,700,500,50,66,IHT_jit,0.43997745495289564,1.0
333,linear,700,500,50,66,HTP_jit,0.291822339175269,1.0
334,linear,700,500,50,66,CVXPY,0.20362533582374454,0.7
335,linear,700,500,50,67,SCOPE_jit,0.7952531189657748,1.0
336,linear,700,500,50,67,GraSP_jit,0.49126354581676424,1.0
337,linear,700,500,50,67,IHT_jit,0.4524395929183811,1.0
338,linear,700,500,50,67,HTP_jit,0.3478623549453914,1.0
339,linear,700,500,50,67,CVXPY,0.24132701708003879,0.76
340,linear,700,500,50,68,SCOPE_jit,1.0602928739972413,1.0
341,linear,700,500,50,68,GraSP_jit,0.616258478956297,1.0
342,linear,700,500,50,68,IHT_jit,0.3748352690599859,1.0
343,linear,700,500,50,68,HTP_jit,0.2604345630388707,1.0
344,linear,700,500,50,68,CVXPY,0.13684889511205256,0.84
345,linear,700,500,50,69,SCOPE_jit,0.5888086319901049,1.0
346,linear,700,500,50,69,GraSP_jit,2.62198390904814,1.0
347,linear,700,500,50,69,IHT_jit,0.26917295693419874,1.0
348,linear,700,500,50,69,HTP_jit,0.3716550851240754,1.0
349,linear,700,500,50,69,CVXPY,0.1410799501463771,0.98
350,linear,800,500,50,70,SCOPE_jit,0.7520581081043929,1.0
351,linear,800,500,50,70,GraSP_jit,0.44167446810752153,1.0
352,linear,800,500,50,70,IHT_jit,0.33555109705775976,1.0
353,linear,800,500,50,70,HTP_jit,0.22003376903012395,1.0
354,linear,800,500,50,70,CVXPY,0.3509600867982954,0.56
355,linear,800,500,50,71,SCOPE_jit,1.006438486976549,1.0
356,linear,800,500,50,71,GraSP_jit,0.6300739210564643,1.0
