(864, 77) (864,)
(216, 77) (216,)
(8239, 561) (8239,)
(2060, 561) (2060,)
(6237, 617) (6237,)
(1560, 617) (1560,)
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 300, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 350, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 400, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 450, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 500, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 550, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
{'dataset': 'Isolet', 'method': 'OMPSolver', 'num_selected_features': 600, 'accuracy': Array(0.89615387, dtype=float32), 'seed': 16}
(864, 77) (864,)
(216, 77) (216,)
(8239, 561) (8239,)
(2060, 561) (2060,)
(6237, 617) (6237,)
(1560, 617) (1560,)
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 5, 'accuracy': Array(0.5833333, dtype=float32), 'seed': 0}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 10, 'accuracy': Array(0.5833333, dtype=float32), 'seed': 0}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 15, 'accuracy': Array(0.7407408, dtype=float32), 'seed': 0}
